,fullTimeEmployees,auditRisk,overallRisk,dividendYield,payoutRatio,fiveYearAvgDividendYield,beta,forwardPE,averageVolume,marketCap,ebitdaMargins,earningsGrowth,returnOnEquity,Cluster_KMeans,Cluster_DBSCAN,Cluster_Hierarchical,PCA1,PCA2
311,74067.0,10.0,10.0,0.36,0.0838,0.0,1.231,22.796047,15929686.0,1461263007744.0,0.50891,0.514,0.37140998,2,-1,3,1358895989625.4724,-29661986.723364834
312,45000.0,4.0,3.0,2.75,0.3628,3.28,1.03,8.176472,3500591.0,53973700608.0,0.08818,1.307,0.15336001,0,-1,0,-48393317280.84697,-1361951.579422796
313,16000.0,6.0,3.0,0.0,0.0,0.0,1.152,27.631222,135516.0,24531732480.0,0.31308,0.403,0.0,0,-1,0,-77835285493.91138,-3874916.5001022415
314,60000.0,6.0,1.0,0.0,0.0,0.81,2.193,13.200001,5233913.0,8669328384.0,0.14463,-0.438,0.26327,0,-1,0,-93697689435.70497,1682541.172533168
315,22300.0,9.0,5.0,3.74,3.1772,1.62,1.517,18.73077,9929206.0,26191785984.0,0.29896,0.0,0.0471,0,-1,0,-76175231707.16042,5870724.853025535
316,48000.0,1.0,1.0,0.52,0.11,0.33,1.228,6.871795,22776703.0,98837897216.0,0.45028,0.986,0.101009995,0,-1,0,-3529120133.7547455,16615717.979775097
317,228000.0,9.0,3.0,0.88,0.2482,0.85,0.914,25.337791,22590562.0,2815991480320.0,0.54255,0.102,0.34291,1,-1,1,2713624461826.884,-62209108.73272968
318,2532.0,5.0,2.0,3.65,1.3096001,3.22,0.898,39.975903,773370.0,19904184320.0,0.56738997,0.035,0.08731,0,-1,0,-82462833633.5149,-3103127.7655789284
319,5800.0,5.0,9.0,0.0,0.0,0.0,1.862,-3.5770116,11335157.0,12031708160.0,-1.16069,0.0,-0.2877,0,-1,0,-90335309484.54202,7686498.0068064
320,41900.0,2.0,9.0,0.0,0.0,0.0,1.445,10.200897,767767.0,7118667776.0,0.13336,-0.326,0.06819,0,-1,0,-95248350172.3159,-2738717.1381599894
321,18000.0,4.0,5.0,0.0,0.0,0.0,0.564,12.557371,719421.0,17659863040.0,0.0466,0.203,0.27069,0,-1,0,-84707154914.13382,-3092130.065964292
322,16800.0,10.0,10.0,3.11,0.32900003,2.65,0.825,10.20742,2198329.0,12260412416.0,0.21301001,1.923,0.08611,0,-1,0,-90106605493.07062,-1456953.264273247
323,90000.0,6.0,5.0,2.78,0.5234,2.24,0.512,19.74344,10637427.0,87597850624.0,0.21250999,0.866,0.16712,0,-1,0,-14769167072.370728,4801727.46931237
324,4017.0,10.0,9.0,1.08,0.1366,0.64,1.038,33.753784,891062.0,27757015040.0,0.26088,14.089,0.68776,0,-1,0,-74610002913.3974,-3212709.477338622
325,5527.0,9.0,7.0,0.0,0.0,0.0,0.711,30.941177,6303326.0,56306978816.0,0.28531998,-0.211,0.21274,0,-1,0,-46060038992.71483,1373273.3579200911
326,15838.0,6.0,5.0,0.81,0.30200002,0.81,1.335,34.638138,805672.0,82997182464.0,0.45598,0.171,0.57171,0,-1,0,-19369835515.00261,-4896840.451625942
327,80000.0,6.0,9.0,3.21,0.4465,3.0,1.345,14.543507,7076849.0,186011156480.0,0.0,1.636,0.13173,0,-1,0,83644138639.36116,-1607077.6068696615
328,13765.0,8.0,3.0,3.23,1.5273,1.56,1.352,11.077235,5731314.0,8636588032.0,0.15807,-0.522,0.0168,0,-1,0,-93730429773.30307,2180911.8285225886
329,21000.0,1.0,1.0,1.01,0.4366,1.26,1.043,29.475153,809611.0,72293744640.0,0.29287001,0.025,1.28723,0,-1,0,-30073273334.404953,-4583129.989917934
330,6132.0,1.0,3.0,1.29,0.4555,0.89,1.186,32.77406,553552.0,43338162176.0,0.57918,-0.231,0.0,0,-1,0,-59028855793.690865,-4001162.7898219777
331,9162.0,1.0,1.0,1.28,0.48700002,1.36,0.971,23.856688,2806388.0,43084115968.0,0.35365,0.7,0.101239994,0,-1,0,-59282901936.38326,-1740976.0139403243
332,11800.0,1.0,1.0,2.35,0.3815,2.71,1.227,11.66227,2011765.0,18243727360.0,0.24877001,-0.027,1.14329,0,-1,0,-84123290556.97682,-1816681.174178035
333,14000.0,10.0,9.0,0.0,0.0,0.0,1.377,39.270393,4509122.0,399460859904.0,0.27555,1.018,0.38435,3,-1,2,297093841899.63904,-10352335.054145502
334,22200.0,4.0,3.0,2.08,0.3497,3.2,0.556,12.553526,10194477.0,54198665216.0,0.47415,0.0,0.11171,0,-1,0,-48168352479.21295,5325433.754161861
335,23900.0,6.0,10.0,0.75,0.2667,1.03,1.355,25.084908,3028836.0,15647310848.0,0.13167,0.383,0.0619,0,-1,0,-86719707038.45177,-724471.8069559103
